Number,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Play
1,James Harden,HOU,30,48,32,16,37.1,35.4,10.2,23.4,43.5,4.6,12.8,35.8,10.5,12,86.9,1.1,5.4,6.5,7.3,4.5,1.7,0.9,3.3,57.5,16,2,4.3,Yes
2,Giannis Antetokounmpo,MIL,25,47,40,7,30.8,30.2,11.1,20.1,55.3,1.6,5,31.3,6.4,10.5,61.2,2.4,10.9,13.4,5.8,3.6,1.1,1,3.1,57.7,42,4,10.3,Yes
3,Damian Lillard,POR,29,50,24,26,37,29.6,9.3,20.3,46.1,3.9,10,39.3,7,7.8,89,0.5,3.8,4.3,8,2.9,1,0.3,1.7,47.7,15,1,1.1,Yes
4,Trae Young,ATL,21,47,12,35,34.9,29.3,9.2,20.6,44.5,3.4,9.3,37,7.6,8.9,84.5,0.6,4,4.6,9,4.9,1.1,0.1,1.7,47.3,19,2,-4.2,Yes
5,Bradley Beal,WAS,26,42,13,29,35.6,29.2,9.9,21.7,45.5,2.6,7.9,32.6,6.8,8.1,84.7,1,3.5,4.5,6.3,3.2,1,0.4,2.2,45,7,0,-5.1,No
6,Luka Doncic,DAL,20,43,27,16,32.8,28.8,9.5,20.5,46.4,2.9,9.1,32.1,6.9,9,76.3,1.4,8.1,9.5,8.7,4.2,1,0.2,2.4,52.7,28,12,4.7,Yes
7,Kyrie Irving,BKN,27,20,8,12,32.9,27.4,10,20.8,47.8,2.8,7.1,39.4,4.7,5.1,92.2,1.1,4.1,5.2,6.4,2.6,1.4,0.5,2.7,46.1,3,1,-0.4,No
8,Kawhi Leonard,LAC,28,39,31,8,32.2,27,9.4,20.3,46.4,2.1,5.6,37.3,6.1,6.8,89.1,1.1,6.5,7.5,5.3,3.1,1.9,0.7,1.9,48.6,11,1,9.2,Yes
9,Devin Booker,PHX,23,48,20,28,36.1,26.7,9.1,18,50.6,1.9,5.3,36.2,6.6,7.2,91.6,0.5,3.6,4.1,6.3,3.9,0.8,0.2,3.1,40.2,6,0,0.8,No
10,Russell Westbrook,HOU,31,43,28,15,36,26.7,10.3,22.4,45.8,1,4.1,23.7,5.2,6.5,79,1.7,6.3,8,7.3,4.4,1.6,0.3,3.7,48.8,18,8,2.8,Yes
11,Karl-Anthony Towns,MIN,24,33,9,24,33.8,26.7,9.2,18.1,50.7,3.3,8.1,40.6,5.1,6.4,80.5,2.7,8.1,10.8,4.2,3.1,0.9,1.2,3.4,49.2,22,0,-1,No
12,Anthony Davis,LAL,26,43,33,10,34.6,26.5,9.3,17.9,51.6,1.1,3.4,31.5,6.9,8,86.4,2.1,7.1,9.2,3.3,2.4,1.5,2.4,2.5,51.9,20,0,4.6,Yes
13,LeBron James,LAL,35,48,37,11,34.9,25.1,9.6,19.5,49.1,2.1,6.1,34.6,3.8,5.4,69.3,1,6.7,7.7,10.8,3.9,1.3,0.5,1.7,52,36,11,8.5,Yes
14,Zach LaVine,CHI,24,53,19,34,34.4,24.9,8.6,19.5,44.2,2.9,7.8,37.3,4.7,5.7,82.5,0.7,4.1,4.8,4.1,3.2,1.4,0.5,2.2,39.2,2,0,-2.7,No
15,Brandon Ingram,NOP,22,47,18,29,34.1,24.9,8.5,18,47.3,2.5,6.3,40,5.3,6.1,86.2,0.9,5.5,6.4,4.2,3,1,0.7,2.8,41,8,0,-1.5,Yes
16,Donovan Mitchell,UTA,23,49,31,18,34.3,24.5,9.1,19.9,45.5,2.4,6.6,36,3.9,4.6,86.1,0.7,3.5,4.3,4.2,2.5,1.1,0.2,2.5,37.5,1,0,3.3,Yes
17,Pascal Siakam,TOR,25,40,31,9,34.9,23.7,8.8,19,46,2.1,5.8,36.5,4.1,5.1,80.7,1.2,6.5,7.7,3.5,2.5,1,0.9,2.8,41.4,10,0,7.5,Yes
18,D'Angelo Russell,GSW,23,33,8,25,32.1,23.6,8.3,19.2,43,3.6,9.7,37.4,3.4,4.4,78.5,0.4,3.3,3.7,6.2,3.1,0.9,0.3,1.9,38,1,0,-7,No
19,DeMar DeRozan,SAS,30,51,22,29,34.4,23.2,8.6,16.2,53.4,0.2,0.6,27.6,5.8,6.8,84.5,0.6,5.1,5.7,5.2,2.5,1.1,0.2,2.7,39.3,4,0,-2.3,No
20,Joel Embiid,PHI,25,36,22,14,30.9,23,7.5,16.2,46.6,1.3,4,32.9,6.7,8.2,81.6,2.6,9.5,12.1,3.2,3,0.7,1.3,3.5,45.3,28,0,2.7,Yes
21,Paul George,LAC,29,30,22,8,30,22.7,7.4,17.2,43,3.5,8.7,40,4.4,4.9,90.5,0.5,5.6,6.1,4,3.1,1.4,0.4,2.5,38.4,4,0,5.3,No
22,Andrew Wiggins,MIN,24,42,12,30,34.7,22.4,8.4,18.8,44.4,2.2,6.5,33.1,3.5,4.9,72,1.1,4.1,5.2,3.7,2.5,0.7,0.9,2.4,36.3,2,1,-2.8,No
23,Kemba Walker,BOS,29,42,29,13,32.1,22,7.4,16.9,43.9,3.4,8.8,38.8,3.8,4.4,86.5,0.7,3.2,4,5,2.2,1,0.6,1.6,37.1,2,0,5.5,Yes
24,Jayson Tatum,BOS,21,46,33,13,33.7,21.9,8,18.3,43.7,2.5,6.7,37.5,3.5,4.1,84.2,1,5.9,6.8,2.9,2.1,1.4,0.8,2,39.1,6,0,8.7,Yes
25,CJ McCollum,POR,28,48,23,25,35.5,21.3,8.5,18.9,45.1,2.6,6.9,37.9,1.7,2.2,75.7,0.7,3.3,4,3.8,1.7,0.8,0.7,2.5,34.3,1,0,0.3,No
26,Bojan Bogdanovic,UTA,30,49,32,17,33.2,21.1,6.9,15.3,45.1,3.2,7.6,42.6,4,4.4,90.3,0.6,3.5,4.1,2.1,2.6,0.6,0.1,1.7,28.5,0,0,6.4,No
27,Spencer Dinwiddie,BKN,26,50,23,27,31,21,6.9,16.5,41.9,2,6.2,31.6,5.2,6.8,77.3,0.5,2.8,3.3,6.4,2.8,0.7,0.3,2.9,34.7,5,0,1.5,No
28,Nikola Jokic,DEN,24,52,36,16,32.3,20.6,8,15.5,51.7,1.3,3.8,33,3.3,4.2,80.1,2.4,7.9,10.3,6.8,2.9,1.2,0.6,3.1,45.6,33,11,4.4,Yes
29,Jimmy Butler,MIA,30,44,30,14,34.4,20.5,6,13.3,45.2,0.6,2.5,25.5,7.8,9.4,83.7,1.9,4.9,6.8,6.3,2.3,1.8,0.5,1.4,42.7,9,3,5.4,Yes
30,Khris Middleton,MIL,28,44,37,7,29.3,20.3,7.4,14.7,50.7,2.4,5.4,43.9,3.1,3.5,90.1,0.8,5.1,5.9,4.2,1.9,0.9,0.2,2.2,35,3,0,8.8,Yes
31,Jaylen Brown,BOS,23,42,29,13,33.6,20.3,7.5,15.1,49.6,2,5.3,37.5,3.4,4.5,74.6,1.1,5.5,6.5,2.2,2.4,1.1,0.3,3,33.4,6,0,4.1,No
32,Buddy Hield,SAC,27,50,19,31,33.5,20.3,7.4,17.3,42.7,3.7,9.9,37.6,1.8,2.2,82.4,0.9,4,5,3.1,2.5,0.8,0.3,2.5,31.9,2,0,-2.3,No
33,Stephen Curry,GSW,31,4,1,3,28,20.3,6.8,16.5,40.9,2.3,9.3,24.3,4.5,4.5,100,1,4,5,6.5,3.8,1.3,0.5,2.5,37.5,1,0,-8,No
34,De'Aaron Fox,SAC,22,32,10,22,31.5,20.2,7.3,15.3,48.2,1,3.2,31.4,4.5,6.6,68.7,0.8,3.5,4.3,7,3.5,1.6,0.5,2.9,38.7,6,0,-2,No
35,Collin Sexton,CLE,21,52,13,39,32.2,19.9,7.7,16.6,46.3,1.3,3.6,37,3.2,3.7,85.5,1,2.2,3.2,2.6,2.2,1,0.1,2,28.9,0,0,-6.8,No
36,Zion Williamson,NOP,19,8,4,4,26.9,19.8,7.8,13.5,57.4,0.5,1.1,44.4,3.8,6.4,58.8,3.3,4.3,7.5,2,2.9,0.8,0.4,1.8,32.3,2,0,6.8,No
37,Kyle Lowry,TOR,33,40,28,12,36.6,19.7,6,14.3,41.6,2.8,8.1,34.8,5,5.8,85.8,0.6,4,4.6,7.3,2.8,1.3,0.4,3.2,38.4,8,1,4.4,Yes
38,John Collins,ATL,22,26,9,17,31.2,19.7,8.1,14.4,56,1.3,3.7,35.8,2.2,2.8,79.5,2.6,7.7,10.3,1.2,1.8,0.7,1.7,3.7,39.3,14,0,-4.8,No
39,Marcus Morris Sr.,NYK,30,43,14,29,32.3,19.6,6.5,14.8,44.2,2.7,6.1,43.9,3.8,4.6,82.3,1.1,4.3,5.4,1.4,1.7,0.8,0.4,3,29.9,3,0,-2.9,No
40,Shai Gilgeous-Alexander,OKC,21,51,31,20,35.6,19.5,7.1,15.3,46,1.2,3.5,33.7,4.1,5.1,81.8,0.7,5.5,6.2,3.2,2,1.2,0.7,1.7,35.4,7,1,2.5,No
41,Lou Williams,LAC,33,48,34,14,29.8,19.4,6.3,15.2,41,1.8,5.2,35.1,5.1,5.8,87.1,0.4,2.6,3,6,3,0.6,0.2,1.4,31.2,2,0,2.8,No
42,Dennis Schroder,OKC,26,50,30,20,31.2,19.3,7.2,15.2,47.5,2.1,5.4,38.8,2.8,3.4,83,0.3,3.6,3.9,4.2,2.6,0.7,0.2,2.2,30.3,0,0,4.9,No
43,Jrue Holiday,NOP,29,43,17,26,34.8,19.2,7.6,17.3,43.8,2,5.8,34.3,2,2.8,71.3,1.3,3.4,4.7,6.3,2.9,1.7,0.9,2.1,39,5,0,-1.5,No
44,Tobias Harris,PHI,27,52,31,21,34.3,19.1,7.4,15.8,47.1,1.8,5,35.7,2.5,3.1,80.5,0.7,6,6.7,2.9,1.6,0.8,0.6,2.3,33.9,7,0,2.1,No
45,Danilo Gallinari,OKC,31,43,24,19,30.6,19.1,5.9,13.3,44.2,3,7.3,41,4.3,4.8,90.3,0.7,5,5.7,2.3,1.3,0.7,0.1,1.2,30.2,3,0,3,No
46,Montrezl Harrell,LAC,26,50,36,14,28.6,19,7.8,13.7,57.2,0,0.3,0,3.4,5.4,62.7,2.7,4.3,7.1,1.8,1.8,0.7,1.1,2.3,33.7,8,0,3.8,No
47,Julius Randle,NYK,25,50,16,34,32.5,19,7.1,15.7,45.3,1.1,4,26.5,3.7,5.3,71.1,2.3,7.2,9.5,3.3,3,0.8,0.3,2.8,35.6,21,0,-3.6,No
48,LaMarcus Aldridge,SAS,34,47,20,27,33.1,18.8,7.3,14.6,50.1,1.2,2.8,41.7,3,3.5,84.2,2,5.5,7.4,2.4,1.3,0.6,1.7,2.4,36.8,12,0,-2.7,No
49,Nikola Vucevic,ORL,29,41,17,24,31.9,18.8,7.5,16.5,45.3,1.7,4.8,35.4,2.2,2.8,78.8,2.7,8.1,10.8,3.5,1.5,0.9,0.9,2.3,40.8,25,0,0,No
50,Kelly Oubre Jr.,PHX,24,49,18,31,34.5,18.8,6.6,14.7,45.3,1.9,5.4,35.4,3.6,4.6,78.2,1.2,5.4,6.6,1.6,1.6,1.3,0.7,3.5,33.6,9,0,-0.8,No
51,Evan Fournier,ORL,27,51,21,30,31.5,18.7,6.6,14.2,46.2,2.6,6.5,40.4,2.9,3.5,82.9,0.2,2.5,2.7,3.2,2,1,0.2,2.5,28.3,0,0,-1.3,No
52,Deandre Ayton,PHX,21,21,9,12,33.1,18.6,8.3,15.7,53.2,0,0,0,2,2.5,78.8,4,8,12,2.1,1.7,0.7,1.6,3,41.2,14,0,2.3,No
53,Derrick Rose,DET,31,44,16,28,26.4,18.5,7.5,15.1,49.8,0.9,3,31.5,2.5,2.9,85.9,0.5,2,2.5,5.8,2.5,0.8,0.3,1,31.1,4,0,-0.7,No
54,Domantas Sabonis,IND,23,48,29,19,34.5,18.3,7.3,13.5,54,0.3,1,24,3.5,4.8,72.8,3.2,9.4,12.6,4.7,2.8,0.8,0.5,3.3,41.6,39,3,3.6,Yes
55,Kristaps Porzingis,DAL,24,39,23,16,30.6,18.2,6.3,15.3,41,2.3,6.6,35,3.3,4.3,77.1,1.7,7.4,9.1,1.4,1.7,0.7,1.9,3.1,37.2,16,0,4.2,No
56,T.J. Warren,IND,26,49,31,18,32.2,18.1,7.2,14,51.6,1.1,3,37.8,2.6,3.1,81.7,0.9,2.8,3.7,1.4,1.2,1.1,0.4,2.7,28.2,0,0,1.4,No
57,Terry Rozier,CHA,25,51,16,35,34.3,18,6.3,15,42,2.6,6.8,38.8,2.8,3.2,86.7,0.8,3.7,4.5,4.2,2.4,1.1,0.2,2.1,31,2,0,-7.4,No
58,Jamal Murray,DEN,22,42,30,12,31.9,18,6.6,15.1,43.9,1.7,5.1,33.2,3,3.4,90.1,0.8,3.2,4,4.6,2.1,1.3,0.3,1.7,32.2,1,0,5.2,No
59,Devonte' Graham,CHA,24,51,16,35,35.2,17.9,5.6,15.1,37.5,3.5,9.4,37.9,3,3.7,81.5,0.7,2.8,3.5,7.7,3,0.9,0.3,1.9,34.1,14,0,-3.4,No
60,Kevin Love,CLE,31,45,11,34,31.4,17.8,6,13.2,45.8,2.6,6.8,38.2,3.2,3.7,85.1,0.9,8.9,9.8,3,2.5,0.6,0.3,1.6,34.4,19,0,-6.1,No
61,Andre Drummond,DET,26,49,17,32,33.7,17.8,7.3,13.9,53,0,0.4,4.8,3,5.2,58.4,4.6,11.2,15.8,2.8,3.6,2,1.7,3.6,48.4,42,0,-2.5,No
62,Jaren Jackson Jr.,MEM,20,49,26,23,28.2,17.6,6.4,13.4,47.6,2.6,6.4,40.5,2.3,3,75,1,3.7,4.7,1.4,1.7,0.7,1.7,4,30.7,2,0,-1.2,No
63,Fred VanVleet,TOR,25,41,30,11,35.9,17.6,5.9,14.5,40.8,2.7,6.8,39.6,3,3.7,82.8,0.4,3.4,3.9,7,2.2,2,0.3,2.4,37.3,6,0,3.4,No
64,Ja Morant,MEM,20,45,25,20,29.8,17.4,6.6,13.3,49.9,0.8,2.1,38.7,3.3,4.3,78.1,0.6,2.8,3.4,7,3.2,1,0.3,1.6,32.6,8,0,0.3,No
65,Gordon Hayward,BOS,29,34,23,11,32.7,17.2,6.8,13.2,51.2,1.6,4.1,38.4,2.1,2.4,87.8,1,5.4,6.4,4,1.8,0.8,0.4,1.8,32.7,5,0,6.5,No
66,Chris Paul,OKC,34,50,31,19,31.6,17,5.9,12.5,47.7,1.6,4.4,35.6,3.6,4,89.9,0.3,4.7,5,6.6,2.1,1.6,0.1,2.3,36,7,0,4.8,Yes
67,Malcolm Brogdon,IND,27,37,24,13,30.5,16.9,6.2,13.9,44.5,1.4,4.2,33.8,3.1,3.4,90.4,0.8,3.8,4.6,7.3,2.6,0.7,0.2,1.8,33.5,8,0,2.1,No
68,Ben Simmons,PHI,23,50,30,20,36.2,16.6,6.6,11.3,58.7,0,0.1,33.3,3.3,5.3,62.1,2,5.9,7.9,8.2,3.5,2.1,0.6,3.3,43.2,27,4,1.1,Yes
69,Alec Burks,GSW,28,48,11,37,29,16.1,5.1,12.5,40.6,1.8,4.7,37.5,4.2,4.7,89.7,0.8,3.9,4.7,3.1,1.6,1,0.4,2.2,29.1,1,0,-5.4,No
70,Dillon Brooks,MEM,24,51,26,25,28.4,16.1,5.8,13.7,42.2,2.1,5.3,39.9,2.3,2.8,84.4,1,2.4,3.4,2.1,1.6,1,0.4,3.7,25.8,0,0,-0.8,No
71,Goran Dragic,MIA,33,39,27,12,28.1,15.9,5.4,12,45,2.2,5.7,39.4,2.9,3.8,75.8,0.4,2.5,2.9,5,2.4,0.6,0.2,1.9,26.8,2,0,2.2,No
72,Bam Adebayo,MIA,22,50,34,16,34.7,15.9,6.1,10.6,58,0,0.2,9.1,3.6,5.2,68.8,2.6,7.8,10.4,4.9,2.7,1.2,1.1,2.4,40.1,29,3,4.3,Yes
73,Hassan Whiteside,POR,30,48,24,24,30.7,15.8,6.6,10.7,61.3,0,0.1,50,2.6,3.7,72.2,4,10,14.1,1.1,1.9,0.4,3.1,3,43,38,0,1.5,No
74,Serge Ibaka,TOR,30,41,29,12,26.6,15.8,6.4,12.3,52.3,1.1,2.9,39,1.8,2.4,74.7,2.1,5.9,8,1.3,1.9,0.6,0.8,2.7,29.6,14,0,1.3,No
75,Luke Kennard,DET,23,28,11,17,32.9,15.8,5.4,12.2,44.2,2.6,6.5,39.9,2.4,2.7,89.3,0.3,3.2,3.5,4.1,1.5,0.4,0.2,2.3,26.5,0,0,-0.8,No
76,Kendrick Nunn,MIA,24,47,33,14,30.2,15.8,6.2,13.6,45.8,2,5.6,36,1.3,1.6,82.2,0.3,2.5,2.8,3.5,1.8,0.9,0.2,2.3,25.8,0,0,2.6,No
77,Eric Gordon,HOU,31,27,17,10,30.2,15.7,5.1,13.7,37.7,3,9.1,33.5,2.3,3.2,72.4,0.3,1.8,2,1.5,1,0.6,0.4,2,22.3,0,0,0.5,No
78,Rudy Gobert,UTA,27,48,31,17,34.4,15.6,6,8.7,68.8,0,0,0,3.7,6,61.2,3.7,10.8,14.5,1.6,2,0.7,2,3.1,41.5,38,0,6.7,Yes
79,Carmelo Anthony,POR,35,36,17,19,32.4,15.5,5.9,13.9,42.5,1.4,3.9,37.1,2.3,2.7,84.4,1.2,5.3,6.5,1.6,1.7,0.9,0.5,3,28.1,4,0,0,No
80,Blake Griffin,DET,30,18,8,10,28.5,15.5,4.9,13.9,35.2,1.5,6.2,24.3,4.2,5.4,77.6,0.9,3.7,4.7,3.3,2.2,0.4,0.4,1.5,26.1,2,0,-1.4,No
81,Eric Bledsoe,MIL,30,43,38,5,26.9,15.3,5.7,11.8,47.9,1.2,3.6,34.6,2.8,3.4,81.5,0.8,3.9,4.7,5.3,2.3,0.9,0.5,2.1,30.8,1,0,8.5,No
82,Norman Powell,TOR,26,38,29,9,28.2,15.3,5.5,11.1,49.8,2,5.1,40.1,2.2,2.6,84,0.6,3.3,3.9,1.7,1.5,1.3,0.4,2,25.9,0,0,4.1,No
83,JJ Redick,NOP,35,47,19,28,27.2,15.3,4.8,10.5,45.4,3,6.5,46.1,2.7,3.1,88.9,0.2,2.4,2.6,1.9,1.2,0.3,0.1,1.6,21.5,0,0,-0.3,No
84,Will Barton,DEN,29,48,33,15,33.3,15.1,5.8,12.9,44.7,1.8,4.8,38.2,1.8,2.4,76.1,1.5,5,6.5,3.7,1.4,1.1,0.5,2,31.8,7,0,4.8,No
85,Jonas Valanciunas,MEM,27,48,24,24,25.9,15.1,6.4,10.8,59.1,0.6,1.5,38,1.8,2.4,73.3,2.8,7.5,10.3,1.9,1.8,0.4,1.1,2.7,33.1,24,0,0.3,No
86,Jabari Parker,ATL,24,32,6,26,26.2,15,6.2,12.3,50.4,1,3.6,27,1.7,2.3,73.6,1.7,4.3,6,1.8,1.9,1.3,0.5,2.9,28.4,2,0,-4.2,No
86,Lauri Markkanen,CHI,22,46,17,29,30.3,15,5.1,12,42.4,2.2,6.4,34.4,2.7,3.2,82.6,1.2,5.2,6.5,1.5,1.7,0.8,0.5,2,27.4,3,0,-1.7,No
88,Davis Bertans,WAS,27,40,13,27,29.3,15,4.8,11.1,43.6,3.6,8.4,42.9,1.7,2,87.3,0.8,3.9,4.6,1.8,1,0.7,0.7,2.5,26.5,1,0,0.5,No
89,Josh Richardson,PHI,26,38,22,16,31.5,15,5.5,12.6,43.6,1.6,4.8,33.3,2.4,2.9,81.8,0.8,2.5,3.3,3.4,2.1,1,0.6,2.7,26.6,0,0,2,No
90,Jordan Clarkson,UTA,27,49,22,27,23.9,14.8,5.3,11.7,45,2.1,5.7,36.9,2.1,2.6,83.2,0.7,1.7,2.4,2,1.2,0.6,0.3,1.3,22.1,0,0,-1.7,No
91,Bogdan Bogdanovic,SAC,27,39,17,22,28.1,14.6,5.3,12.2,43.7,2.6,6.9,37.8,1.4,2,69.2,0.3,2.8,3.1,3.3,1.9,0.9,0.2,2.1,24.8,2,0,-1.3,No
92,Harrison Barnes,SAC,27,50,19,31,34.8,14.4,5,11.2,44.4,1.3,3.6,34.8,3.2,4.1,79.3,0.9,3.9,4.8,2.1,1.2,0.6,0.2,1.2,24.4,3,0,-0.9,No
93,Caris LeVert,BKN,25,25,11,14,26.4,14.4,5.3,13.6,38.8,1.4,3.8,36.2,2.4,3.6,68.5,0.9,2.7,3.6,3.6,2.5,0.8,0.1,1.8,24.1,0,0,-1,No
94,Marvin Bagley III,SAC,20,13,2,11,25.7,14.2,6,12.8,46.7,0.3,1.7,18.2,1.9,2.4,80.6,2.2,5.2,7.5,0.8,1.4,0.5,0.9,3.3,27.1,3,0,-6.8,No
95,Tim Hardaway Jr.,DAL,27,48,30,18,26.9,14.2,4.9,11.7,42.3,2.7,6.8,39.5,1.7,2.1,80.8,0.4,2.6,3,1.7,1,0.6,0.1,1.8,21.4,0,0,5,No
